time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
21:03.6,6,0,2,58,54,1,0,0,0,0,0,0,0,0,0
21:03.9,6,0,2,58,55,1,0,0,0,0,0,0,0,0,0
21:03.9,5,0,3,57,54,1,0,0,0,0,0,0,0,0,0
21:04.0,4,0,2,57,53,1,0,0,0,0,0,0,0,0,0
21:04.2,4,0,3,56,52,1,0,0,0,0,0,0,0,0,0
21:04.3,4,0,3,56,52,1,0,0,0,0,0,0,0,0,0
21:04.4,4,0,2,56,52,1,0,0,0,0,0,0,0,0,0
21:04.5,4,0,2,57,51,1,0,0,0,0,0,0,0,0,0
21:04.6,4,0,2,56,52,1,0,0,0,0,0,0,0,0,0
21:04.7,3,0,2,56,51,1,0,0,0,0,0,0,0,0,0
21:04.8,2,0,2,56,50,1,0,0,0,0,0,0,0,0,0
21:04.9,2,0,2,55,50,1,0,0,0,0,0,0,0,0,0
21:05.0,2,0,2,55,49,1,0,0,0,0,0,0,0,0,0
21:05.1,2,0,2,55,49,1,0,0,0,0,0,0,0,0,0
21:05.2,2,0,2,55,48,1,0,0,0,0,0,0,0,0,0
21:05.3,2,0,2,55,48,0,0,0,0,0,0,0,0,0,0
21:05.4,1,0,2,54,47,0,0,0,0,0,0,0,0,0,0
21:05.5,1,0,2,54,47,0,0,0,0,0,0,0,0,0,0
21:05.6,0,0,2,54,47,0,0,0,0,0,0,0,0,0,0
21:05.8,1,0,1,54,48,0,0,0,0,0,0,0,0,0,0
21:05.9,0,0,1,54,48,0,0,0,0,0,0,0,0,0,0
21:06.0,0,0,1,54,48,0,0,0,0,0,0,0,0,0,0
21:06.1,0,0,1,54,49,0,0,0,0,0,0,0,0,0,0
21:06.2,0,0,1,53,48,0,0,0,0,0,0,0,0,0,0
21:06.3,0,0,0,53,46,0,0,0,0,0,0,0,0,0,0
21:06.4,0,0,1,52,46,0,0,0,0,0,0,0,0,0,0
21:06.5,0,0,1,50,43,0,0,0,0,0,0,0,0,0,0
21:06.6,0,0,0,48,38,0,0,0,0,0,0,0,0,0,0
21:06.7,0,0,0,48,39,0,0,0,0,0,0,0,0,0,0
21:06.8,0,0,0,48,40,0,0,0,0,0,0,0,0,0,0
21:06.9,0,0,0,48,40,0,0,0,0,0,0,0,0,0,0
21:07.0,0,0,0,48,39,0,0,0,0,0,6,0,0,0,0
21:07.1,0,0,0,48,38,0,0,0,0,0,21,0,0,0,0
21:07.2,0,0,0,47,37,0,0,0,0,0,25,0,0,0,0
21:07.3,0,0,0,48,38,0,0,0,0,0,29,0,0,0,0
21:07.5,0,0,0,48,39,0,0,0,0,0,29,0,0,0,0
21:07.6,0,0,0,49,39,0,0,0,0,0,29,0,0,0,0
21:07.7,0,0,0,49,40,0,0,0,0,0,29,0,0,0,0
21:07.8,0,0,0,49,40,0,0,0,0,0,29,0,0,0,0
21:07.9,0,0,0,50,41,0,0,0,0,0,28,0,0,0,0
21:08.0,0,0,0,50,41,0,0,0,0,0,29,0,0,0,0
21:08.1,0,0,0,50,41,0,0,0,0,0,25,0,0,0,0
21:08.2,0,0,0,50,41,0,0,0,0,0,23,0,0,0,0
21:08.3,0,0,0,50,41,0,0,0,0,0,20,0,0,0,0
21:08.4,0,0,0,50,42,0,0,0,0,0,19,0,0,0,0
21:08.5,0,0,0,50,42,0,0,0,0,0,19,0,0,0,0
21:08.6,0,0,0,51,42,0,0,0,0,0,18,0,0,0,0
21:08.7,0,0,0,51,42,0,0,0,0,0,13,0,0,0,0
21:08.8,0,0,0,52,43,0,0,0,0,0,10,0,0,0,0
21:08.9,0,0,0,52,46,0,0,0,0,0,3,0,0,0,0
