time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31
16:16:55.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:55.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0, 
16:16:55.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:55.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0, 
16:16:55.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0, 
16:16:55.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:55.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:55.873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0, 
16:16:55.912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0, 
16:16:56.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0, 
16:16:56.946,0,0,0,0,0,0,0,0,0,36,0,67,0,54,0,15,0,31,43,73,11,125,135,144,75,0,0,0,0,0,0, 
16:16:57.059,0,0,0,0,0,0,0,0,0,38,0,62,0,57,0,15,0,4,0,72,0,159,159,173,134,35,0,0,0,0,0, 
16:16:57.168,0,0,0,0,0,0,0,0,21,51,0,71,0,64,0,19,0,7,18,58,0,180,174,188,141,23,0,13,0,0,0, 
16:16:57.293,0,0,0,29,0,0,0,0,44,74,0,85,0,64,0,25,0,0,6,57,0,192,171,167,116,26,0,32,18,13,0, 
16:16:57.387,0,9,35,33,59,0,0,0,57,93,0,91,0,65,0,27,0,0,21,62,0,195,158,135,103,29,0,35,13,8,0, 
16:16:57.513,0,22,38,27,80,0,0,0,61,88,0,93,0,66,0,28,0,0,20,73,0,203,159,134,107,32,0,23,21,3,0, 
16:16:57.638,0,39,49,23,111,0,0,0,58,77,0,82,0,61,0,28,0,0,19,70,0,202,162,116,108,36,20,81,50,4,0, 
16:16:57.743,0,59,8,79,100,0,18,0,66,74,0,71,0,57,0,26,0,0,23,63,0,189,142,73,108,38,44,116,99,17,0, 
16:16:57.855,0,64,20,89,131,0,54,0,72,65,0,59,0,53,0,22,0,0,0,64,0,167,131,47,94,35,101,101,102,34,0, 
16:16:57.964,2,65,15,85,154,0,56,0,74,43,0,54,0,53,0,22,0,0,0,64,0,158,122,32,80,33,125,124,118,58,0, 
16:16:58.089,49,63,6,66,156,0,51,0,71,36,0,48,0,55,0,18,0,0,0,65,0,142,104,20,66,34,137,134,132,66,0, 
16:16:58.199,51,61,18,0,140,0,41,0,60,34,0,51,0,57,0,19,0,0,0,64,0,131,88,19,64,34,139,134,135,66,0, 
16:16:58.309,30,59,4,0,126,0,38,0,54,33,0,53,0,58,0,20,0,0,0,70,0,115,83,16,62,34,121,121,127,64,0, 
16:16:58.434,31,57,14,0,127,0,33,0,50,31,0,55,0,62,0,24,0,0,0,73,0,109,80,15,60,33,118,107,121,61,0, 
16:16:58.545,29,55,19,0,128,0,34,0,47,31,0,55,0,61,0,24,0,0,0,74,0,104,77,11,56,31,113,101,119,60,0, 
16:16:58.654,24,49,15,0,126,0,34,0,47,30,0,56,0,63,0,24,0,0,15,74,0,99,71,0,53,30,102,97,117,56,0, 
16:16:58.763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:58.870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:58.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:16:59.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:17:00.668,0,12,0,0,57,0,0,0,35,32,0,49,0,38,0,31,0,0,26,54,0,89,71,17,49,22,56,70,72,41,0, 
16:17:00.793,0,12,0,0,70,0,0,0,44,39,0,57,0,45,0,33,0,0,29,64,0,110,87,19,57,26,73,93,95,50,0, 
16:17:00.919,0,10,0,0,73,0,0,0,48,42,0,63,0,48,3,32,0,0,30,71,0,119,90,18,59,28,79,91,102,50,0, 
16:17:01.011,0,9,0,0,75,0,0,0,51,45,0,68,0,52,4,33,0,0,31,74,0,122,93,18,60,28,87,88,102,51,0, 
16:17:01.134,0,10,0,0,71,0,0,0,53,43,0,63,0,49,4,31,0,0,30,68,0,110,86,17,55,27,83,77,93,47,0, 
16:17:01.246,0,11,0,0,71,0,0,0,55,47,0,74,0,54,4,32,0,0,29,71,0,113,89,17,55,28,81,69,91,44,0, 
16:17:01.354,0,11,0,0,67,0,0,0,56,48,0,75,0,68,0,34,0,0,30,73,0,116,95,18,56,28,80,66,92,44,0, 
16:17:01.478,0,8,0,0,62,0,0,0,53,45,0,70,0,80,0,34,0,0,30,70,0,108,97,19,55,27,66,44,82,42,0, 
16:17:01.587,0,7,0,0,56,0,0,2,50,43,0,71,0,84,0,37,0,0,31,70,0,107,103,21,55,26,62,43,80,40,0, 
16:17:01.698,0,8,0,0,63,0,0,0,57,41,0,78,0,82,0,36,0,0,32,73,0,116,109,26,60,28,84,70,90,47,0, 
16:17:01.810,0,5,0,0,57,0,0,2,48,39,0,73,0,84,0,35,0,0,31,68,0,106,103,29,58,28,90,76,92,51,0, 
16:17:01.919,0,0,0,0,46,0,0,10,45,37,0,78,0,95,4,37,0,0,30,61,0,98,107,38,57,27,69,60,89,48,0, 
