time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
20:57.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
20:57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
20:57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
20:57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
20:58.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
20:58.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
20:58.3,0,0,0,0,0,0,0,0,12,53,0,20,0,0,0,0,0,10,0,43,0,60,57,54,0,0,0,0,0,0,0
20:58.5,0,10,159,93,98,0,19,9,120,115,0,103,0,50,0,17,0,40,0,63,0,111,130,96,47,9,20,74,42,21,0
20:58.6,0,19,124,116,117,0,0,0,102,98,0,63,0,13,0,0,0,32,0,57,0,88,101,70,75,31,61,191,106,135,0
20:58.7,15,11,98,143,126,0,0,0,81,89,0,41,0,0,0,0,0,26,0,50,0,67,79,65,80,30,91,227,137,136,0
20:58.8,37,0,86,165,131,0,0,0,58,65,0,34,0,0,0,0,0,0,0,54,0,65,63,57,72,21,80,208,120,120,0
20:58.9,40,0,87,170,140,0,14,0,58,64,0,40,0,0,0,0,0,9,0,62,0,73,50,50,83,21,59,156,86,92,0
20:59.0,40,0,77,159,134,0,31,0,64,69,0,47,0,0,0,0,0,23,0,69,0,74,49,40,85,21,24,103,68,78,0
20:59.2,40,0,78,152,132,0,34,6,69,75,0,53,0,7,0,0,0,24,0,67,0,71,47,38,84,20,23,91,64,70,0
20:59.3,38,0,73,152,131,0,40,11,70,80,0,56,0,6,0,6,0,24,0,64,0,67,47,38,85,22,20,64,66,71,0
20:59.4,37,0,71,159,137,0,54,14,69,81,0,56,0,7,0,9,0,22,0,62,0,67,46,36,82,16,27,64,71,73,0
20:59.5,37,0,74,163,141,0,71,13,69,83,0,55,0,2,0,8,0,12,0,60,0,64,42,21,61,2,38,67,78,71,0
20:59.6,37,0,71,163,147,0,77,10,67,85,0,49,0,0,0,0,0,0,0,54,0,62,38,17,49,1,48,77,86,71,0
20:59.7,36,0,67,162,148,0,89,0,60,84,0,46,0,0,0,0,0,0,0,51,0,58,35,9,41,6,56,90,96,67,0
20:59.8,37,0,72,170,158,0,121,0,55,86,0,46,0,8,0,0,0,0,0,50,0,57,30,1,37,8,61,87,95,57,0
21:00.0,36,0,72,170,159,0,128,0,47,84,0,52,0,7,0,0,0,0,0,47,0,50,17,0,30,16,65,93,100,50,0
21:00.1,35,0,65,172,164,0,143,0,41,83,0,56,0,9,0,0,0,0,0,43,0,46,1,0,24,20,70,102,112,50,0
21:00.2,34,11,66,174,168,0,148,0,37,81,0,58,0,12,0,0,0,0,0,40,0,44,0,0,13,23,80,112,124,50,0
21:00.3,31,21,56,165,158,0,141,0,35,78,0,55,0,13,0,0,0,0,0,37,0,41,0,0,5,22,85,113,124,45,0
21:00.4,25,27,43,163,158,0,135,0,34,76,0,51,0,11,0,0,0,0,0,36,0,42,0,0,5,24,96,125,134,52,0
21:00.5,20,33,38,166,162,0,126,0,32,75,0,43,0,5,0,0,0,0,0,35,0,42,0,0,7,25,107,140,150,63,0
21:00.6,18,38,37,162,161,0,112,0,31,72,0,35,0,0,0,0,0,0,0,35,0,42,0,0,7,25,119,148,161,69,0
21:00.7,23,35,32,149,152,0,94,0,29,68,0,34,0,0,0,0,0,0,0,37,0,42,0,0,12,24,127,143,149,58,0
21:00.9,25,27,26,139,147,0,92,0,29,67,0,34,0,1,0,0,0,0,0,40,0,43,0,0,15,24,131,141,141,54,0
21:01.0,27,22,20,135,148,0,89,0,30,67,0,35,0,10,0,0,0,0,0,41,0,44,0,0,21,23,142,149,147,56,0
21:01.1,26,21,20,137,150,0,90,0,30,66,0,35,0,11,0,0,0,0,0,42,0,44,0,0,22,24,141,147,138,49,0
21:01.2,26,25,21,139,150,0,98,0,31,69,0,36,0,11,0,0,0,0,0,42,0,43,0,0,21,23,138,144,126,43,0
21:01.3,27,21,17,134,148,0,100,0,32,68,0,36,0,15,0,0,0,0,0,43,0,44,0,0,24,23,125,132,118,40,0
21:01.4,23,23,20,137,148,0,104,0,32,68,0,35,0,14,0,0,0,0,0,44,0,45,0,0,23,22,131,128,118,38,0
21:01.5,15,31,21,140,150,0,105,0,33,69,0,36,0,14,0,0,0,0,0,45,0,45,9,0,24,22,129,124,113,36,0
21:01.7,16,33,22,129,141,0,100,0,31,61,0,32,0,9,0,0,0,0,0,47,0,48,12,1,29,19,135,125,108,36,0
21:01.8,25,26,14,118,137,0,78,0,29,55,0,30,0,6,0,0,0,0,0,47,0,49,11,6,32,21,136,130,110,37,0
21:01.9,23,25,15,117,136,0,80,0,31,58,0,31,0,6,0,0,0,0,0,48,0,49,11,2,31,20,142,126,106,38,0
21:02.0,20,28,16,127,145,0,96,0,33,64,0,33,0,9,0,0,0,0,0,51,0,49,12,0,30,20,134,110,98,35,0
21:02.1,20,24,14,126,150,0,104,0,34,66,0,36,0,14,0,0,0,0,0,50,0,47,12,0,28,18,115,95,87,33,0
21:02.2,23,10,9,118,151,0,103,0,34,62,0,38,0,20,0,0,0,0,0,47,0,43,12,3,23,18,106,79,81,30,0
21:02.3,23,6,0,112,150,0,96,0,31,55,0,38,0,21,0,0,0,0,0,45,0,42,12,10,20,20,102,70,82,31,0
21:02.5,18,1,0,101,146,0,88,0,30,56,0,37,0,23,0,0,0,0,0,47,0,48,13,17,25,20,106,77,81,35,0
21:02.6,17,1,0,89,130,0,64,0,30,43,0,29,0,9,0,0,0,0,0,50,0,50,14,19,29,23,135,108,91,40,0
21:02.7,16,0,0,82,124,0,55,0,31,40,0,30,0,10,0,0,0,0,0,50,0,50,13,21,33,24,147,123,98,43,0
21:02.8,6,0,0,74,130,0,43,0,30,35,0,32,0,13,0,0,0,0,0,50,0,52,14,24,35,23,151,128,105,46,0
21:02.9,6,0,0,76,137,0,42,0,30,35,0,34,0,16,0,0,0,0,0,51,0,52,13,22,36,24,146,121,102,46,0
21:03.0,3,0,0,87,145,0,50,0,34,44,0,37,0,19,0,0,0,0,0,53,0,52,14,20,36,23,136,107,93,42,0
21:03.1,4,0,0,92,151,0,58,0,34,48,0,39,0,21,0,0,0,0,0,55,0,54,14,21,35,23,137,104,94,42,0
21:03.2,6,0,0,91,149,0,61,0,35,48,0,39,0,21,0,0,0,0,0,55,0,54,14,21,36,25,142,107,95,43,0
21:03.4,6,0,0,81,141,0,52,0,33,43,0,37,0,18,0,0,0,0,0,54,0,53,14,22,37,26,144,108,93,43,0
21:03.5,6,0,0,80,141,0,52,0,33,46,0,38,0,21,0,0,0,0,0,56,0,54,15,23,37,26,147,109,92,43,0
21:03.6,5,0,0,82,143,0,53,0,35,47,0,38,0,18,0,0,0,0,0,55,0,54,14,22,36,25,146,105,90,43,0
21:03.7,4,0,0,83,143,0,56,0,35,49,0,39,0,20,0,0,0,0,0,56,0,54,15,22,36,26,145,103,89,42,0
21:03.8,4,0,0,84,144,0,55,0,35,50,0,39,0,20,0,0,0,0,0,57,0,55,15,22,36,26,147,103,90,43,0
21:03.9,4,0,0,83,143,0,55,0,35,50,0,39,0,21,0,0,0,0,0,57,0,55,15,21,36,27,146,102,91,42,0
21:04.0,3,0,0,84,143,0,54,0,36,51,0,39,0,21,0,0,0,0,0,58,0,55,15,22,36,26,147,102,92,43,0
21:04.1,3,0,0,84,144,0,55,0,35,51,0,40,0,21,0,0,0,0,0,58,0,55,15,21,36,27,147,102,92,44,0
21:04.3,3,0,0,84,143,0,55,0,35,51,0,40,0,21,0,0,0,0,0,57,0,55,15,21,36,27,147,100,93,44,0
21:04.4,1,0,0,84,142,0,55,0,35,51,0,39,0,20,0,0,0,0,0,58,0,55,15,22,36,27,146,100,93,44,0
21:04.5,0,0,0,84,143,0,55,0,35,51,0,40,0,21,0,0,0,0,0,58,0,55,15,22,36,27,147,100,93,45,0
21:04.6,0,0,0,84,143,0,55,0,35,51,0,39,0,20,0,0,0,0,0,58,0,56,15,22,36,27,146,99,93,44,0
21:04.7,0,0,0,84,143,0,55,0,35,51,0,40,0,21,0,0,0,0,0,58,0,55,15,23,36,28,145,100,94,44,0
21:04.8,0,0,0,85,143,0,55,0,35,52,0,40,0,21,0,0,0,0,0,58,0,56,15,22,36,27,146,100,94,45,0
21:04.9,0,0,0,84,143,0,55,0,36,51,0,40,0,21,0,0,0,0,0,59,0,56,15,22,36,27,146,100,94,45,0
21:05.1,0,0,0,85,143,0,55,0,36,51,0,40,0,20,0,0,0,0,0,59,0,56,15,22,36,27,148,100,95,45,0
21:05.2,0,0,0,85,143,0,56,0,35,52,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,147,100,95,46,0
21:05.3,0,0,0,85,142,0,56,0,36,51,0,40,0,21,0,0,0,0,0,59,0,56,15,22,36,27,147,100,95,46,0
21:05.4,0,0,0,86,142,0,56,0,35,51,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,147,99,96,46,0
21:05.5,0,0,0,86,142,0,56,0,36,52,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,147,98,97,47,0
21:05.6,0,0,0,86,143,0,56,0,36,52,0,40,0,21,0,0,0,0,0,59,0,56,15,23,36,27,148,99,97,47,0
21:05.7,0,0,0,86,143,0,57,0,36,51,0,40,0,22,0,0,0,0,0,60,0,57,15,23,36,27,147,98,97,47,0
21:05.8,0,0,0,87,142,0,58,0,36,52,0,40,0,22,0,0,0,0,0,60,0,56,15,23,36,27,148,97,98,47,0
21:05.9,0,0,0,88,143,0,58,0,36,52,0,40,0,22,0,0,0,0,0,60,0,57,15,23,36,27,148,97,98,47,0
21:06.1,0,0,0,88,143,0,59,0,35,52,0,40,0,22,0,0,0,0,0,59,0,56,15,23,36,27,147,96,99,47,0
