time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
12:55:48.408,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0, 
12:55:48.511,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0, 
12:55:48.619,8,0,0,0,0,18,0,0,0,28,0,0,0,0,0, 
12:55:48.721,12,0,0,0,0,25,0,0,0,32,0,0,0,0,0, 
12:55:48.831,23,0,0,0,12,41,0,0,0,34,0,0,0,0,0, 
12:55:48.938,30,0,0,0,11,42,0,0,0,30,0,0,0,0,0, 
12:55:49.049,37,1,0,0,17,43,0,0,0,32,0,0,0,0,0, 
12:55:49.157,42,0,0,0,21,44,0,0,0,31,0,0,0,0,0, 
12:55:49.264,26,0,0,0,15,39,0,0,0,31,0,0,0,0,0, 
12:55:49.378,23,0,0,0,8,33,0,0,0,28,0,0,0,0,0, 
12:55:49.469,28,0,0,0,9,37,0,0,0,29,0,0,0,0,0, 
12:55:49.581,28,0,0,0,6,38,0,0,0,29,0,0,0,0,0, 
12:55:49.687,30,0,0,0,2,40,0,0,0,29,0,0,0,0,0, 
12:55:49.788,31,1,0,0,0,42,0,0,0,28,0,0,0,0,0, 
12:55:49.896,31,1,0,0,0,41,0,0,0,27,0,0,0,0,0, 
12:55:50.007,29,2,0,0,0,39,0,0,0,26,0,0,0,0,0, 
12:55:50.106,28,2,0,0,0,38,0,0,0,25,0,0,0,0,0, 
12:55:50.213,26,2,0,0,0,38,0,0,0,25,0,0,0,0,0, 
12:55:50.313,24,2,0,0,0,37,0,0,0,24,0,0,0,0,0, 
12:55:50.423,24,2,0,0,0,37,0,0,0,23,0,0,0,0,0, 
12:55:50.531,25,4,0,0,0,35,0,0,0,22,0,0,0,0,0, 
12:55:50.650,28,5,0,0,0,33,0,0,0,19,0,0,0,0,0, 
12:55:50.752,33,5,0,0,0,34,0,0,0,17,0,0,0,0,0, 
12:55:50.860,39,9,0,0,0,34,0,0,0,15,0,0,0,0,0, 
12:55:50.952,44,13,0,0,0,34,0,0,0,12,0,0,0,0,0, 
12:55:51.063,47,15,0,0,0,34,0,0,0,13,0,0,0,0,0, 
12:55:51.169,48,18,0,0,0,35,0,0,0,15,0,0,0,0,0, 
12:55:51.283,48,18,0,0,0,36,0,0,0,16,0,0,0,0,0, 
12:55:51.388,47,18,0,0,0,36,0,0,0,19,0,0,0,0,0, 
12:55:51.504,47,18,0,0,0,36,0,0,0,19,0,0,0,0,0, 
12:55:51.609,47,19,0,0,0,36,0,0,0,19,0,0,0,0,0, 
12:55:51.700,47,18,0,0,0,37,0,0,0,19,0,0,0,0,0, 
12:55:51.800,47,19,0,0,0,36,0,0,0,20,0,0,0,0,0, 
12:55:51.908,46,19,0,0,0,36,0,0,0,21,0,0,0,0,0, 
12:55:52.017,47,19,0,0,0,37,0,0,0,20,0,0,0,0,0, 
12:55:52.140,47,20,0,0,0,37,0,0,0,19,0,0,0,0,0, 
12:55:52.242,48,20,0,0,0,37,0,0,0,16,0,0,0,0,0, 
12:55:52.368,44,18,0,0,0,37,0,0,0,16,0,0,0,0,0, 
12:55:52.459,40,16,0,0,0,36,0,0,0,15,0,0,0,0,0, 
12:55:52.565,36,14,0,0,0,35,0,0,0,15,0,0,0,0,0, 
12:55:52.671,29,14,0,0,0,34,0,0,0,14,0,0,0,0,0, 
12:55:52.759,28,13,0,0,0,35,0,0,0,13,0,0,0,0,0, 
12:55:52.876,26,13,0,0,0,34,0,0,0,15,0,0,0,0,0, 
12:55:52.988,24,12,0,0,0,32,0,0,0,14,0,0,0,0,0, 
12:55:53.095,23,11,0,0,0,32,0,0,0,13,0,0,0,0,0, 
12:55:53.202,23,11,0,0,0,31,0,0,0,12,0,0,0,0,0, 
12:55:53.314,22,11,0,0,0,30,0,0,0,12,0,0,0,0,0, 
12:55:53.398,19,10,0,0,0,28,0,0,0,12,0,0,0,0,0, 
12:55:53.497,18,9,0,0,0,27,0,0,0,12,0,0,0,0,0, 
12:55:53.612,17,9,0,0,0,25,0,0,0,11,0,0,0,0,0, 
