time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
16:48:24.600,0,17,17,12,55,0,85,52,96,97,151,77,168,67,70,70,17,0,166,98,152,82,77,93,70,23,20,12,73,28,0, 
16:48:24.712,0,20,16,11,49,0,82,49,94,96,148,67,163,63,69,68,19,0,172,101,157,84,80,94,73,19,22,10,71,32,0, 
16:48:24.836,0,17,15,11,50,0,75,39,93,96,144,58,159,60,68,67,19,0,188,105,170,87,84,98,78,15,27,10,73,37,0, 
16:48:24.945,0,16,14,6,51,0,65,34,87,97,141,58,157,61,69,67,22,0,196,108,176,92,88,107,83,14,33,13,79,42,0, 
16:48:25.055,0,14,11,2,47,3,62,33,86,96,136,52,154,58,68,65,34,0,197,110,175,92,87,108,83,14,33,7,75,46,0, 
16:48:25.182,0,15,12,4,50,0,65,34,88,97,141,59,157,64,69,67,40,0,199,111,174,94,89,108,85,16,32,6,76,48,0, 
16:48:25.291,0,15,11,4,50,0,65,36,87,98,142,62,159,66,70,68,32,0,196,111,172,94,88,105,84,14,31,5,76,50,0, 
16:48:25.419,0,15,11,4,52,0,68,39,90,99,145,65,162,68,71,70,27,0,198,113,173,95,89,109,86,17,30,4,78,49,0, 
16:48:25.511,0,15,11,0,41,0,64,39,88,97,146,65,164,70,72,70,23,0,197,112,173,95,90,110,85,18,29,0,74,49,0, 
16:48:25.620,0,15,10,1,47,0,66,41,89,100,148,69,169,71,73,71,25,0,200,114,176,96,90,110,86,15,27,0,73,50,0, 
16:48:25.758,0,15,10,2,45,0,68,41,89,100,152,68,176,72,74,73,29,0,197,113,174,97,90,108,83,7,18,0,60,42,0, 
16:48:25.868,0,12,7,5,23,0,75,42,84,95,159,69,195,74,77,70,23,0,182,98,166,81,89,101,74,14,0,0,47,26,0, 
16:48:25.980,0,12,10,12,39,0,88,48,89,100,173,83,208,83,80,78,22,0,178,100,167,86,88,102,72,23,0,0,49,24,0, 
16:48:26.089,0,14,12,10,43,0,89,52,91,102,179,88,214,85,81,79,19,0,164,99,158,87,86,99,70,20,0,0,44,22,0, 
16:48:26.194,0,13,10,5,23,0,87,53,91,99,179,83,215,88,82,79,10,0,158,96,156,82,85,100,74,24,0,0,47,27,0, 
16:48:26.308,0,13,10,6,24,0,91,55,92,101,183,87,217,90,83,81,9,0,158,98,156,85,86,101,75,26,0,0,48,28,0, 
16:48:26.430,0,15,12,12,41,0,96,57,96,106,189,89,222,91,84,83,12,0,164,101,159,88,84,98,70,21,0,0,48,23,0, 
16:48:26.539,0,15,11,10,34,0,91,56,94,105,187,94,220,93,84,83,11,0,163,100,158,87,83,102,73,25,0,0,50,27,0, 
16:48:26.652,0,14,10,9,33,0,92,57,96,103,190,97,224,96,85,85,11,0,167,101,161,87,86,107,77,25,0,0,54,29,0, 
16:48:26.776,0,15,10,10,33,0,96,58,98,106,191,98,225,97,85,86,12,0,167,103,162,90,87,104,75,21,0,0,53,26,0, 
16:48:26.868,0,15,11,12,37,0,98,59,99,108,193,102,227,97,85,86,13,0,168,102,163,90,88,106,76,25,0,0,53,24,0, 
16:48:26.992,0,15,10,10,34,0,99,60,99,107,193,102,228,98,86,86,14,0,169,101,162,90,88,106,78,25,0,0,52,25,0, 
16:48:27.119,0,14,9,7,29,0,99,60,98,107,194,101,231,98,89,87,14,0,169,101,162,90,88,105,79,26,0,0,49,23,0, 
16:48:27.227,0,14,9,8,25,0,100,61,97,108,197,103,234,99,90,87,15,0,170,101,164,90,87,104,78,24,0,0,46,19,0, 
16:48:27.352,0,14,9,8,25,0,101,61,98,109,197,103,233,99,89,87,15,0,170,100,162,90,86,104,78,26,0,0,46,21,0, 
16:48:27.462,0,15,9,9,26,0,102,62,99,110,198,102,233,100,89,88,15,0,170,100,162,89,85,103,74,25,0,0,47,18,0, 
16:48:27.570,0,14,9,10,29,0,102,63,100,111,200,103,234,100,89,88,16,0,171,101,162,90,83,101,72,23,0,0,46,17,0, 
16:48:27.679,0,12,8,6,18,0,97,60,99,111,198,105,232,101,88,88,15,0,171,99,162,90,83,102,73,24,0,0,44,16,0, 
16:48:27.789,0,12,9,6,16,0,97,59,97,108,190,98,219,95,85,86,14,0,168,99,160,89,83,101,73,24,0,0,43,17,0, 
16:48:27.913,0,12,8,6,13,0,98,57,97,109,186,90,217,90,84,85,14,0,174,101,163,90,83,101,74,25,0,0,45,17,0, 
16:48:28.024,0,11,8,5,10,0,94,56,96,109,184,96,214,92,84,85,14,0,174,101,163,91,85,101,74,26,0,0,47,18,0, 
16:48:28.133,0,11,7,5,7,0,95,57,97,109,182,99,214,94,84,85,15,0,175,102,165,91,85,104,75,24,0,0,48,18,0, 
16:48:28.244,0,8,5,2,0,0,96,59,99,111,189,101,222,96,86,86,13,0,176,102,168,91,85,104,75,22,0,0,44,14,0, 
16:48:28.353,0,9,6,3,0,0,98,59,99,110,189,93,221,91,85,85,10,0,180,102,168,92,81,100,78,25,0,0,42,16,0, 
16:48:28.475,0,9,7,4,0,0,99,57,98,108,183,89,213,89,83,83,11,0,183,102,169,91,80,101,83,26,0,0,45,16,0, 
16:48:28.588,0,7,5,2,0,0,91,57,96,111,179,93,211,91,84,84,7,0,185,102,172,93,82,107,86,25,0,0,48,15,0, 
16:48:28.712,0,7,6,0,0,0,90,55,95,109,172,89,201,88,79,82,6,0,186,103,172,94,83,109,88,23,0,0,48,14,0, 
16:48:28.820,0,7,7,1,0,0,89,55,96,110,174,90,204,88,80,82,6,0,190,104,176,95,84,111,89,23,0,0,50,16,0, 
16:48:28.947,0,6,6,1,0,0,87,55,95,109,174,90,203,89,81,81,6,0,186,103,172,94,84,112,91,27,0,0,51,17,0, 
16:48:29.041,0,6,6,1,0,0,88,56,95,110,176,91,205,90,83,82,5,0,185,103,172,93,83,112,91,28,0,0,51,18,0, 
16:48:29.148,0,1,2,0,0,5,79,55,93,112,181,95,213,92,85,84,0,0,192,103,178,94,85,115,95,29,0,0,52,19,0, 
16:48:29.262,0,0,0,0,0,5,78,55,93,111,182,92,214,91,86,84,0,0,190,103,178,92,86,117,96,28,0,0,53,23,0, 
16:48:29.385,0,2,2,0,0,0,80,54,94,113,188,93,224,89,87,85,0,0,186,104,178,92,87,114,92,20,0,0,50,24,0, 
16:48:29.493,0,2,5,3,0,0,88,56,95,113,195,95,233,90,89,85,0,0,183,104,176,92,87,108,86,21,0,0,48,23,0, 
16:48:29.621,0,4,6,6,0,0,93,56,95,113,201,97,240,91,92,84,3,0,177,102,174,89,87,105,84,22,0,0,47,26,0, 
16:48:29.727,0,4,7,7,0,0,97,59,97,113,204,101,242,94,94,85,5,0,174,101,172,87,86,102,80,21,0,0,47,27,0, 
16:48:29.838,0,7,7,7,0,0,98,60,97,113,204,100,243,95,95,85,6,0,173,101,172,86,87,101,79,21,0,0,47,28,0, 
16:48:29.947,0,6,7,7,0,0,99,61,98,113,205,102,245,97,98,85,3,0,174,101,172,85,88,105,81,25,0,0,47,28,0, 
16:48:30.056,0,4,6,6,0,0,100,61,98,114,209,102,249,98,101,86,2,0,181,102,176,85,90,109,81,25,0,0,47,26,0, 
16:48:30.180,0,6,6,7,0,0,102,63,98,113,210,101,251,98,106,86,2,0,183,103,177,84,92,114,83,25,0,0,47,27,0, 
