time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
18:34:56.825,0,0,0,0,0,0,0,0,0,17,0,0,6,16,24, 
18:34:56.935,0,0,0,0,0,0,0,0,0,25,0,0,16,9,20, 
18:34:57.026,0,0,0,0,0,0,0,0,0,30,0,0,8,0,16, 
18:34:57.137,0,0,0,0,0,0,0,0,0,40,0,0,9,0,15, 
18:34:57.245,0,0,0,0,2,14,0,0,0,42,0,0,6,0,9, 
18:34:57.377,0,0,0,0,9,30,0,0,9,45,0,6,4,0,6, 
18:34:57.464,0,0,0,14,11,49,0,0,4,46,0,0,0,0,1, 
18:34:57.573,0,0,0,23,9,57,0,0,3,47,0,0,0,0,1, 
18:34:57.677,0,0,0,32,12,68,0,0,2,47,0,0,0,0,0, 
18:34:57.776,0,0,0,35,9,77,0,0,0,48,0,0,0,0,0, 
18:34:57.885,0,0,0,38,9,83,0,0,0,49,0,0,0,0,0, 
18:34:57.996,0,0,0,39,10,90,0,4,4,48,0,0,0,0,0, 
18:34:58.107,0,0,0,39,7,91,0,3,16,50,0,0,0,0,0, 
18:34:58.198,0,0,0,40,0,89,0,4,7,51,0,5,0,0,0, 
18:34:58.308,0,0,0,40,0,88,0,3,2,53,0,19,0,0,0, 
18:34:58.414,0,0,0,43,0,94,0,7,0,55,0,34,0,0,0, 
18:34:58.525,0,0,0,45,0,96,0,9,0,56,0,49,0,0,0, 
18:34:58.635,0,0,0,47,1,98,0,10,0,55,0,54,0,0,0, 
18:34:58.730,0,0,0,47,4,98,0,4,0,49,0,46,0,0,0, 
18:34:58.839,0,0,0,48,0,92,0,0,0,50,11,45,0,0,0, 
18:34:58.947,0,0,0,48,0,91,0,0,0,51,31,44,0,0,0, 
18:34:59.065,0,0,0,47,0,88,0,0,0,49,29,40,0,0,0, 
18:34:59.166,0,0,0,46,0,87,0,0,0,50,31,40,0,0,0, 
18:34:59.268,0,0,0,44,0,83,0,0,0,48,24,37,0,0,0, 
18:34:59.376,0,0,0,43,0,79,0,0,0,48,23,38,0,0,0, 
18:34:59.491,0,0,0,41,0,74,0,0,0,48,23,39,0,0,0, 
18:34:59.588,0,0,0,39,0,69,0,0,0,48,24,39,0,0,0, 
18:34:59.697,0,0,0,37,0,68,0,0,0,48,23,37,0,0,0, 
18:34:59.808,0,0,0,35,0,66,0,0,0,46,21,32,0,0,0, 
18:34:59.903,0,0,0,31,0,64,0,0,0,44,16,28,0,0,0, 
