time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
17:02:50.916,0,0,0,0,0,0,0,0,0,0,0,0,47,26,51, 
17:02:51.046,0,0,0,0,0,0,0,0,0,0,0,0,43,16,44, 
17:02:51.117,0,0,0,0,0,0,0,0,0,0,0,0,31,0,29, 
17:02:51.230,0,0,0,0,0,0,0,0,0,0,0,0,22,0,7, 
17:02:51.336,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0, 
17:02:51.449,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0, 
17:02:51.558,0,0,0,0,0,0,0,0,0,0,0,0,53,5,2, 
17:02:51.650,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0, 
17:02:51.761,0,0,0,0,0,0,0,0,0,18,0,0,28,0,0, 
17:02:51.867,0,0,0,0,0,0,0,0,0,63,0,0,23,0,0, 
17:02:51.990,0,0,0,0,0,0,0,0,0,74,0,0,32,0,0, 
17:02:52.098,0,0,0,0,0,0,0,0,0,29,0,0,23,0,0, 
17:02:52.207,0,0,0,0,0,0,0,0,0,55,0,0,42,0,0, 
17:02:52.315,0,0,0,0,0,0,0,0,0,59,0,0,44,1,0, 
17:02:52.398,0,0,0,0,0,0,0,0,0,62,0,0,44,5,0, 
17:02:52.508,0,0,0,0,0,0,0,0,0,64,0,0,45,10,0, 
17:02:52.620,0,0,0,0,0,0,0,0,0,62,0,0,43,9,0, 
17:02:52.726,0,0,0,0,0,0,0,0,0,51,0,0,42,8,0, 
17:02:52.836,0,0,0,0,0,0,0,0,0,40,0,0,35,8,0, 
17:02:52.930,0,0,0,0,0,0,0,0,0,34,0,0,35,10,0, 
