time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
18:51:40.069,0,24,11,0,82,0,85,60,98,55,0,96,11,87,0,27,0,54,0,135,0,121,98,127,128,0,127,87,107,95,0, 
18:51:40.176,0,24,12,0,82,0,86,61,99,55,0,96,12,86,0,27,0,54,0,135,0,122,98,127,127,0,128,86,107,95,0, 
18:51:40.302,0,26,13,0,84,0,86,62,99,55,0,96,13,87,0,27,0,54,0,136,0,122,97,126,127,0,128,85,107,95,0, 
18:51:40.412,0,27,13,0,84,0,87,62,99,55,0,97,13,87,0,27,0,54,0,136,0,123,97,127,128,0,129,85,107,95,0, 
18:51:40.536,0,26,13,0,84,0,88,63,99,54,0,98,16,88,0,28,0,54,0,136,0,123,97,127,128,0,130,84,107,96,0, 
18:51:40.645,0,25,13,0,84,0,89,63,99,54,0,99,16,88,0,27,0,54,0,137,0,123,96,126,128,0,130,77,107,96,0, 
18:51:40.753,0,25,12,0,84,0,90,63,98,54,0,99,17,87,0,28,0,53,0,137,0,123,95,126,128,0,128,71,106,97,0, 
18:51:40.864,0,24,14,0,84,0,88,63,99,53,0,101,18,89,0,28,0,54,0,138,0,122,94,126,127,0,128,73,107,99,0, 
18:51:40.991,0,24,14,0,84,0,90,65,99,53,0,102,19,90,0,28,0,53,0,137,0,123,94,125,126,0,129,72,107,99,0, 
18:51:41.099,0,26,14,0,84,0,92,65,101,53,0,102,19,90,0,30,0,54,0,140,0,125,96,127,128,0,131,74,108,102,0, 
18:51:41.222,0,28,15,0,85,0,92,65,101,53,0,102,19,90,0,31,0,55,0,141,0,124,96,128,129,0,133,76,109,104,0, 
18:51:41.323,0,27,16,0,85,0,92,66,102,54,0,103,19,91,0,31,0,55,0,141,0,125,97,128,129,0,134,77,110,106,0, 
18:51:41.440,0,28,16,0,85,0,92,66,101,54,0,104,20,92,0,31,0,55,0,141,0,125,97,128,129,0,134,76,110,107,0, 
18:51:41.550,0,28,16,0,85,0,91,65,101,54,0,103,19,93,0,31,0,55,0,140,0,125,97,127,129,0,135,75,110,108,0, 
18:51:41.662,0,29,16,0,84,0,92,66,101,54,0,103,19,93,0,32,0,53,0,139,0,125,97,128,128,0,135,74,110,107,0, 
18:51:41.773,0,30,16,0,85,0,94,66,101,53,0,103,19,93,0,31,0,53,0,138,0,125,97,127,127,0,133,72,109,101,0, 
18:51:41.895,0,30,16,0,84,0,93,66,100,53,0,103,17,93,0,31,0,51,0,133,0,122,95,123,123,0,130,70,108,100,0, 
18:51:42.003,0,33,17,0,85,0,93,65,100,53,0,105,18,94,0,32,0,51,0,134,0,125,96,126,125,0,130,71,110,101,0, 
18:51:42.130,0,33,18,0,86,0,95,66,101,53,0,106,18,95,0,32,0,51,0,132,0,124,95,124,122,0,130,69,110,100,0, 
18:51:42.237,0,34,18,0,86,0,95,66,100,53,0,104,18,92,0,32,0,48,0,125,0,123,95,123,121,0,126,68,109,100,0, 
18:51:42.350,0,33,17,0,85,0,95,67,100,52,0,104,19,93,0,32,0,46,0,122,0,122,94,121,118,0,124,66,108,95,0, 
18:51:42.459,0,33,18,0,85,0,96,68,100,52,0,104,19,92,0,32,0,45,0,120,0,122,94,120,117,0,122,65,107,97,0, 
18:51:42.570,0,33,18,0,85,0,96,68,100,52,0,104,19,93,0,32,0,45,0,120,0,122,93,120,117,0,121,64,107,95,0, 
18:51:42.710,0,32,18,0,86,0,97,68,101,52,0,105,19,94,0,32,0,46,0,121,0,122,92,120,117,0,122,64,107,96,0, 
18:51:42.803,0,32,18,0,86,0,97,69,101,52,0,106,19,94,0,32,0,46,0,120,0,121,93,119,117,0,123,64,107,96,0, 
18:51:42.927,0,31,18,0,86,0,97,70,102,52,0,106,17,94,0,32,0,46,0,119,0,121,93,119,118,0,123,65,107,95,0, 
18:51:43.036,0,31,18,0,87,0,98,70,102,52,0,106,17,94,0,32,0,46,0,119,0,120,93,120,118,0,123,64,106,95,0, 
18:51:43.144,0,31,18,0,87,0,98,69,102,53,0,107,17,94,0,33,0,46,0,120,0,121,93,120,118,0,124,64,107,95,0, 
18:51:43.255,0,30,18,0,87,0,97,69,103,53,0,106,17,95,0,33,0,47,0,122,0,121,94,120,118,0,125,64,107,95,0, 
18:51:43.363,0,31,19,0,88,0,98,69,103,52,0,106,17,95,0,33,0,47,0,122,0,122,93,120,119,0,125,64,107,95,0, 
