time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
17:06:41.167,86,115,167,148,142,0,54,0,30,0,0,12,0,0,0,63,0,0,0,33,0,14,11,52,56,11,226,226,222,187,139, 
17:06:41.278,89,116,169,150,146,0,55,0,31,0,0,12,0,0,0,64,0,0,0,31,0,15,12,49,57,11,227,228,225,188,141, 
17:06:41.400,92,118,170,152,148,0,56,0,31,0,0,13,0,0,0,65,0,0,0,29,0,15,11,49,57,11,226,228,225,188,141, 
17:06:41.509,92,119,173,155,151,0,58,0,32,0,0,14,0,0,0,66,0,0,0,29,0,15,13,50,58,11,226,230,228,190,141, 
17:06:41.636,65,116,166,150,149,0,51,0,31,0,0,7,0,0,0,65,0,0,0,32,0,12,19,49,59,10,218,225,228,188,143, 
17:06:41.761,58,111,158,145,147,0,51,0,31,0,0,11,0,0,0,54,0,0,0,29,0,13,21,53,64,10,213,221,229,190,145, 
17:06:41.853,75,113,170,160,155,0,58,0,32,0,0,19,0,0,0,48,0,0,0,21,0,6,8,50,50,3,205,207,222,185,125, 
17:06:41.963,71,116,174,164,156,0,58,0,31,0,0,22,0,0,0,40,0,0,0,22,0,3,0,47,42,3,188,187,212,177,111, 
17:06:42.086,109,130,192,173,166,0,64,0,31,0,0,24,0,0,0,61,0,0,0,31,0,6,1,49,43,4,198,194,208,176,111, 
17:06:42.197,111,132,195,177,169,0,63,0,32,0,0,24,0,0,0,61,0,0,0,33,0,6,6,54,45,5,201,200,213,183,115, 
