time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
17:22:30.179,0,0,0,0,0,5,0,0,22,46,0,27,36,0,11, 
17:22:30.271,0,0,0,0,0,7,0,0,20,46,0,29,33,0,4, 
17:22:30.381,0,0,0,0,0,6,0,0,25,43,0,31,30,0,4, 
17:22:30.490,0,0,0,0,0,6,0,0,24,46,0,36,41,0,8, 
17:22:30.602,0,0,0,0,0,1,0,0,18,45,0,38,43,0,9, 
17:22:30.711,0,0,0,0,0,4,0,0,18,45,0,38,42,0,7, 
17:22:30.806,0,0,0,0,0,5,0,0,21,47,0,41,41,0,8, 
17:22:30.898,0,0,0,0,0,9,0,0,24,48,0,43,42,0,10, 
17:22:31.009,0,0,0,0,0,9,0,0,25,50,0,43,42,0,10, 
17:22:31.114,0,0,0,0,0,8,0,0,23,49,0,41,41,0,10, 
