time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
16:39:10.211,109,147,202,137,89,0,151,49,131,112,0,0,0,4,0,41,0,25,0,14,0,8,0,5,0,9,77,22,23,0,0, 
16:39:10.318,115,148,206,145,93,0,153,49,132,114,0,0,0,6,0,42,0,25,0,14,0,8,0,8,0,7,83,27,28,0,0, 
16:39:10.428,104,145,201,156,99,0,150,35,121,110,0,0,0,6,0,40,0,24,0,14,0,9,0,13,0,6,88,31,33,0,0, 
16:39:10.555,105,146,199,156,101,0,144,14,113,108,0,0,0,6,0,35,0,23,0,12,0,8,0,16,0,6,93,36,40,0,0, 
16:39:10.666,102,142,191,152,100,0,137,0,105,101,0,0,0,6,0,35,0,24,0,15,0,8,0,24,0,7,100,44,44,18,0, 
16:39:10.772,100,134,179,143,95,0,124,0,98,90,0,0,0,7,0,35,0,26,0,17,0,8,0,32,0,10,106,51,49,20,0, 
16:39:10.900,91,125,165,136,90,0,102,0,87,74,0,0,0,6,0,35,0,30,0,19,0,8,0,42,0,12,110,62,56,27,0, 
16:39:11.008,88,119,155,132,88,0,85,0,82,62,0,0,0,0,0,37,0,35,0,22,0,10,0,49,0,16,118,71,62,32,0, 
16:39:11.101,88,112,147,125,83,0,86,0,79,58,0,0,0,0,0,41,0,38,0,27,0,11,0,53,0,20,126,68,64,39,0, 
16:39:11.227,84,108,135,121,80,0,74,0,79,54,0,0,0,0,0,42,0,39,0,29,0,11,0,56,0,20,129,65,68,58,0, 
16:39:11.353,84,106,129,116,74,0,66,0,77,51,0,0,0,0,0,43,0,40,0,28,0,11,0,59,0,21,128,60,65,62,0, 
16:39:11.460,85,105,131,117,75,0,75,0,79,53,0,0,0,0,0,44,0,41,0,27,0,11,0,59,0,20,125,52,63,54,0, 
16:39:11.572,85,106,134,122,80,0,80,0,80,54,0,0,0,0,0,44,0,41,0,26,0,11,0,56,0,19,117,45,62,21,0, 
16:39:11.681,82,106,134,120,78,0,90,0,81,53,0,0,0,0,0,46,0,43,0,26,0,12,0,56,0,18,116,33,56,16,0, 
16:39:11.805,92,104,128,110,68,0,86,0,77,49,0,0,0,0,0,43,0,45,0,27,0,13,0,56,0,18,120,30,52,20,0, 
16:39:11.897,90,100,116,100,60,0,55,0,64,36,0,0,0,0,0,43,0,47,0,28,0,15,0,60,0,21,128,28,51,58,0, 
16:39:12.021,83,92,106,92,58,0,28,2,53,24,0,0,0,0,0,43,0,47,0,37,0,16,0,65,0,23,152,27,54,71,0, 
16:39:12.116,77,86,104,94,61,0,18,5,50,26,0,0,0,0,0,50,0,48,0,38,0,17,0,70,0,24,151,25,56,77,0, 
16:39:12.242,76,93,109,98,62,0,19,7,53,31,0,0,0,0,0,52,0,48,0,36,0,17,0,69,0,25,145,25,57,75,0, 
16:39:12.368,79,96,114,102,66,0,34,8,57,34,0,0,0,0,0,53,0,46,0,32,0,16,0,69,0,24,138,25,56,68,0, 
16:39:12.476,81,98,117,106,68,0,42,16,60,37,0,0,0,0,0,54,0,46,0,32,0,16,0,69,0,25,139,25,58,70,0, 
16:39:12.585,83,99,119,108,71,0,47,20,62,39,0,0,0,0,0,55,0,47,0,31,0,17,0,69,0,25,136,25,58,72,0, 
16:39:12.697,85,100,120,109,72,0,47,23,63,40,0,0,0,0,0,56,0,47,0,32,0,17,0,68,0,26,137,25,60,75,0, 
16:39:12.804,87,101,121,109,72,0,42,24,64,39,0,0,0,0,0,57,0,47,0,34,0,18,0,71,0,25,139,26,62,78,0, 
16:39:12.929,86,101,120,107,72,0,32,24,63,39,0,0,0,0,0,58,0,48,0,34,0,18,0,71,0,25,138,26,62,80,0, 
