time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
16:25:47.052,0,72,121,169,152,0,17,0,42,75,0,57,0,3,0,0,0,0,0,22,0,55,0,0,39,32,64,99,122,81,0, 
16:25:47.159,0,67,92,152,145,0,18,0,39,67,0,56,0,17,0,0,0,0,0,26,0,50,0,0,36,30,55,79,101,67,0, 
16:25:47.286,0,63,77,138,137,0,17,0,40,67,0,59,0,24,0,0,0,0,0,30,0,49,0,0,33,29,57,74,95,64,0, 
16:25:47.394,0,62,71,143,136,0,18,0,38,65,0,57,0,25,0,0,0,0,0,31,0,46,1,0,26,29,56,70,96,62,0, 
16:25:47.520,0,57,66,147,142,0,13,0,38,67,0,59,0,27,0,0,0,0,0,32,0,48,2,0,27,29,58,71,98,63,0, 
16:25:47.626,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:25:47.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
16:25:47.848,0,11,29,95,100,0,0,0,32,56,0,49,0,22,0,0,0,0,0,29,0,46,8,11,34,25,45,75,83,62,0, 
16:25:47.957,0,35,30,108,109,0,0,0,34,59,0,54,0,24,0,0,0,0,0,36,0,52,11,16,39,28,56,93,100,74,0, 
16:25:48.066,0,36,29,117,117,0,0,0,34,60,0,57,0,25,0,0,0,0,0,39,0,56,12,15,42,29,63,105,106,78,0, 
16:25:48.191,0,37,26,113,115,0,0,0,34,59,0,58,0,24,0,0,0,0,0,44,0,56,13,13,41,28,64,101,100,71,0, 
16:25:48.320,0,40,25,112,116,0,0,0,34,56,0,57,0,23,0,0,0,0,0,46,0,58,13,9,40,28,78,99,99,68,0, 
