time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
14:26:21.136,0,45,32,61,86,0,20,0,0,35,162,63,159,33,0,0,0,0,156,52,139,41,18,50,57,18,110,108,105,89,68, 
14:26:21.240,0,44,33,60,86,0,20,0,0,34,163,59,159,30,0,0,0,0,160,54,143,42,19,51,59,19,116,110,104,89,68, 
14:26:21.359,0,46,34,58,84,0,20,0,0,32,160,55,157,27,0,0,0,0,164,55,144,43,21,51,60,20,118,115,104,89,69, 
14:26:21.469,0,45,34,58,85,0,21,0,0,31,162,52,158,25,0,0,0,0,166,56,146,43,20,51,62,20,121,109,100,87,63, 
14:26:21.593,0,46,37,60,87,0,22,0,0,33,162,52,158,26,0,0,0,0,166,58,148,44,19,51,64,21,126,109,100,87,64, 
14:26:21.685,0,47,39,61,89,0,23,0,0,34,165,55,160,27,0,0,0,0,164,59,148,44,16,49,63,20,126,107,101,87,60, 
14:26:21.813,0,47,39,60,90,0,25,0,0,36,165,58,159,27,0,0,0,0,161,58,147,43,15,48,63,21,124,104,100,86,58, 
14:26:21.921,0,49,42,62,92,0,25,0,0,38,166,61,160,28,0,0,0,0,162,59,147,44,17,50,64,22,127,104,102,86,59, 
14:26:22.061,0,50,44,63,92,0,25,0,0,38,167,61,161,29,0,0,0,0,163,61,150,45,17,52,64,21,129,103,101,87,60, 
14:26:22.171,0,47,38,57,90,0,25,0,0,36,167,60,160,29,0,0,0,0,162,61,149,46,18,53,66,21,127,100,100,87,61, 
14:26:22.284,0,45,38,48,83,0,24,0,0,35,167,58,161,29,0,0,0,0,162,61,150,46,18,54,68,23,126,99,101,88,61, 
14:26:22.380,0,45,39,50,83,0,24,0,0,36,167,59,161,29,0,0,0,0,161,63,152,48,19,54,69,24,130,105,103,89,58, 
14:26:22.507,0,48,41,52,86,0,24,0,0,37,167,60,161,30,0,0,0,0,154,64,153,49,20,54,69,25,132,105,104,88,62, 
14:26:22.616,0,47,40,52,86,0,25,0,0,36,167,58,161,28,0,0,0,0,143,64,152,49,19,51,74,24,131,93,102,88,56, 
14:26:22.717,0,48,42,52,86,0,25,0,0,36,166,58,160,29,0,0,0,0,139,62,153,48,18,50,74,26,131,89,100,85,58, 
14:26:22.846,0,48,42,50,86,0,25,0,0,38,166,57,159,29,0,0,0,0,133,56,154,45,16,43,73,25,127,83,97,81,55, 
14:26:22.953,0,46,42,46,86,0,27,0,0,38,167,55,159,29,0,0,0,0,112,52,155,41,15,43,79,24,115,77,93,78,47, 
14:26:23.078,0,47,41,52,89,0,30,0,0,39,169,59,157,33,0,0,0,0,104,52,153,39,13,41,68,21,110,77,90,74,44, 
14:26:23.187,0,50,45,52,96,0,32,0,2,41,172,63,159,37,0,0,0,0,109,51,151,39,10,39,61,22,110,78,93,77,48, 
14:26:23.297,0,50,40,52,99,0,33,3,2,41,174,68,161,39,0,0,0,0,115,51,153,40,10,38,57,21,113,77,95,78,54, 
14:26:23.406,0,52,45,54,100,0,38,4,3,42,177,71,163,42,0,0,0,0,122,51,151,38,9,38,54,22,112,77,97,80,47, 
14:26:23.515,0,52,46,54,102,0,39,4,2,43,178,72,165,42,0,0,0,0,127,51,153,38,8,38,55,21,108,79,95,82,41, 
14:26:23.627,0,52,45,54,103,0,39,4,2,44,179,74,166,42,0,0,0,0,126,52,154,38,8,41,57,23,108,78,95,82,41, 
14:26:23.734,0,52,45,55,103,0,40,3,2,44,179,74,167,43,0,0,0,0,129,53,154,39,9,42,58,23,108,78,96,83,42, 
14:26:23.879,0,53,46,56,104,0,41,4,3,45,180,76,167,44,0,0,0,0,132,53,154,40,9,43,57,23,109,78,96,83,42, 
14:26:23.985,0,53,47,56,104,0,42,4,2,45,181,76,167,44,0,0,0,0,134,54,155,40,10,44,58,24,109,78,96,83,42, 
14:26:24.079,0,53,47,56,105,0,42,3,3,45,182,76,168,45,0,0,0,0,134,54,155,40,9,44,59,24,109,78,97,83,44, 
14:26:24.209,0,53,47,57,104,0,42,4,3,46,183,77,169,46,0,0,0,0,135,55,155,41,9,45,60,25,110,78,98,83,44, 
14:26:24.317,0,53,47,57,105,0,44,4,3,46,183,77,170,46,0,0,0,0,135,55,156,41,9,45,60,25,111,78,98,83,44, 
14:26:24.428,0,53,48,57,105,0,44,4,3,46,183,78,170,46,0,0,0,0,136,55,156,41,9,45,60,25,110,78,99,83,44, 
