time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31 
18:59:27.037,34,45,10,37,80,35,118,75,103,75,13,88,35,83,0,32,15,84,60,122,0,112,120,106,80,0,18,0,0,37,0, 
18:59:27.147,17,45,10,35,80,34,118,75,100,74,9,87,33,84,0,32,11,81,59,117,0,110,118,105,79,0,15,0,0,37,0, 
18:59:27.272,0,42,10,33,79,36,119,75,98,72,8,87,31,85,0,31,6,78,59,111,0,107,113,102,75,0,8,0,0,34,0, 
18:59:27.383,0,42,10,31,79,35,119,77,96,72,10,87,30,86,0,29,0,75,58,106,0,106,108,99,70,0,2,0,0,31,0, 
18:59:27.507,0,41,9,28,78,35,118,77,96,72,11,87,36,86,0,30,0,72,56,99,0,103,106,96,63,0,0,0,0,28,0, 
18:59:27.616,0,40,9,26,77,34,117,77,95,71,10,85,36,86,0,29,0,71,56,95,0,102,104,94,59,0,0,0,0,27,0, 
18:59:27.725,0,39,9,24,75,22,113,75,94,69,7,84,34,87,0,29,0,71,54,90,0,101,104,94,57,0,0,0,0,26,0, 
18:59:27.849,0,38,9,20,70,16,103,73,93,66,3,82,32,88,0,28,0,71,54,88,0,99,103,95,57,0,0,0,0,26,0, 
18:59:27.961,0,35,8,19,69,14,98,72,93,63,1,80,30,87,0,28,0,74,54,88,0,98,102,95,57,0,0,0,0,26,0, 
18:59:28.070,0,33,9,19,68,15,97,71,94,63,0,79,28,87,0,29,0,76,55,90,0,97,102,95,56,0,0,0,0,26,0, 
